"Temps","Destinació principal","País de residència",Mètriques,Valors,estatus,Dada provisional,
"04/2019","Catalunya","Suïssa","Turistes (milers)","31.9","",""
"04/2019","Catalunya","Resta d'Europa","Turistes (milers)","161.5","",""
"04/2019","Catalunya","Estats Units","Turistes (milers)","115.2","",""
"04/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","95.4","",""
"04/2019","Catalunya","Resta del món","Turistes (milers)","211.2","",""
"04/2019","Catalunya","Total","Turistes (milers)","1671.4","",""
"03/2019","Catalunya","Alemanya","Turistes (milers)","96.8","",""
"03/2019","Catalunya","Bèlgica","Turistes (milers)","29.5","",""
"03/2019","Catalunya","França","Turistes (milers)","266.4","",""
"03/2019","Catalunya","Irlanda","Turistes (milers)","16.7","",""
"03/2019","Catalunya","Itàlia","Turistes (milers)","104.7","",""
"03/2019","Catalunya","Països Baixos","Turistes (milers)","33.2","",""
"03/2019","Catalunya","Països nòrdics","Turistes (milers)","33","",""
"03/2019","Catalunya","Portugal","Turistes (milers)","12.5","(*)",""
"03/2019","Catalunya","Regne Unit","Turistes (milers)","104.9","",""
"03/2019","Catalunya","Rússia","Turistes (milers)","39.9","",""
"03/2019","Catalunya","Suïssa","Turistes (milers)","33","",""
"03/2019","Catalunya","Resta d'Europa","Turistes (milers)","126.7","",""
"03/2019","Catalunya","Estats Units","Turistes (milers)","94.5","",""
"03/2019","Catalunya","Resta d'Amèrica","Turistes (milers)","83.8","",""
"03/2019","Catalunya","Resta del món","Turistes (milers)","205.2","",""
"03/2019","Catalunya","Total","Turistes (milers)","1280.9","",""
"02/2019","Catalunya","Alemanya","Turistes (milers)","57.8","",""
"02/2019","Catalunya","Bèlgica","Turistes (milers)","15.2","",""
"02/2019","Catalunya","França","Turistes (milers)","226.5","",""
"02/2019","Catalunya","Irlanda","Turistes (milers)","12.5","",""
"02/2019","Catalunya","Itàlia","Turistes (milers)","65.2","",""
"02/2019","Catalunya","Països Baixos","Turistes (milers)","29.3","",""
